PLAYER;WIN;SP;2PA;2P%;3PA;3P%;FTA;FT%;ORB;DRB;AST;STL;BLK;TOV;PF;PTS;+/-;;;;;;
JAMES;0;2149;11;0,455;6;0,333;9;0,444;2;7;8;1;1;3;1;20;-6;;;;;;
JAMES;1;2418;14;0,571;5;0,400;2;1,000;1;4;5;2;1;1;1;24;11;;;;;;
JAMES;1;2372;17;0,706;5;0,000;3;0,667;0;4;7;1;1;4;2;26;2;;;;;;
JAMES;0;2122;14;0,500;6;0,333;5;1,000;1;8;7;1;1;2;0;25;-6;;;;;;
JAMES;1;2251;11;0,364;2;1,000;8;0,875;1;3;14;1;1;2;2;21;15;;;;;;
JAMES;1;1842;9;0,667;6;0,500;4;1,000;0;1;8;0;0;4;0;25;9;;;;;;
JAMES;1;2057;19;0,579;3;0,667;2;1,000;1;6;9;1;0;2;0;30;21;;;;;;
JAMES;0;2207;13;0,692;6;0,500;4;0,250;1;6;12;2;1;3;3;28;-8;;;;;;
JAMES;1;2221;9;0,667;12;0,583;1;1,000;1;5;8;0;2;3;2;34;11;;;;;;
JAMES;1;2324;19;0,526;5;0,400;7;0,714;0;4;9;1;1;4;1;31;-5;;;;;;
JAMES;0;2227;15;0,667;5;0,400;2;0,000;0;4;9;3;0;3;1;26;-1;;;;;;
JAMES;1;1859;11;0,545;3;0,333;5;0,800;1;10;8;1;0;3;1;19;14;;;;;;
JAMES;0;2168;12;0,750;4;0,250;10;1,000;0;5;13;1;0;3;0;31;-3;;;;;;
JAMES;1;2271;12;0,667;4;0,500;9;0,778;0;8;9;0;0;4;1;29;14;;;;;;
JAMES;0;2407;8;0,500;8;0,250;6;0,667;1;12;9;2;0;5;3;18;-10;;;;;;
JAMES;0;2262;18;0,667;5;0,600;8;0,875;3;5;9;1;1;4;1;40;-6;;;;;;
JAMES;1;1719;9;0,889;5;0,400;3;1,000;0;7;10;0;0;2;0;25;20;;;;;;
JAMES;1;2272;12;0,500;3;0,333;7;0,714;0;8;6;0;1;8;1;20;7;;;;;;
JAMES;1;2288;15;0,400;4;0,500;8;1,000;1;4;10;1;1;3;1;26;12;;;;;;
JAMES;1;2085;13;0,615;1;0,000;11;0,636;0;14;12;1;0;4;1;23;33;;;;;;
JAMES;0;2081;9;0,667;3;0,000;4;1,000;1;9;8;0;0;5;1;16;-13;;;;;;
JAMES;1;2232;7;0,571;10;0,900;6;0,833;1;6;5;0;0;4;0;40;22;;;;;;
JAMES;1;1727;11;0,818;1;1,000;5;0,400;0;4;9;0;0;1;0;23;13;;;;;;
JAMES;1;2171;17;0,529;1;0,000;9;0,778;2;5;9;3;0;4;2;25;9;;;;;;
JAMES;1;2154;13;0,692;5;0,200;5;0,600;0;5;12;1;1;5;1;24;10;;;;;;
JAMES;0;2132;19;0,684;3;0,333;5;0,800;1;6;11;2;0;4;0;33;-6;;;;;;
JAMES;1;2454;13;0,769;7;0,429;11;0,727;2;7;5;2;0;8;1;37;-3;;;;;;
JAMES;1;2261;18;0,611;2;0,000;6;1,000;2;9;17;5;1;4;0;28;19;;;;;;
TATUM;1;2319;14;0,714;8;0,375;6;0,833;0;11;4;2;1;4;3;34;0;;;;;;
TATUM;1;2486;12;0,500;10;0,300;3;0,333;0;8;5;1;0;2;4;22;13;;;;;;
TATUM;1;1656;12;0,833;9;0,444;1;1,000;0;6;3;0;0;2;2;33;27;;;;;;
TATUM;1;1594;10;0,600;5;0,600;10;0,900;2;10;4;0;0;2;1;30;36;;;;;;
TATUM;1;2452;10;0,400;10;0,600;6;1,000;1;10;1;0;0;3;1;32;18;;;;;;
TATUM;0;2578;14;0,714;8;0,250;8;0,750;0;5;2;5;0;6;2;32;3;;;;;;
TATUM;0;2225;8;0,500;6;0,333;3;0,667;1;14;6;3;0;2;2;16;-1;;;;;;
TATUM;1;1998;6;0,333;11;0,364;9;0,778;1;9;3;0;0;2;1;23;28;;;;;;
TATUM;1;2045;9;0,778;9;0,333;6;0,667;0;5;4;0;1;1;2;27;42;;;;;;
TATUM;1;2368;11;0,727;12;0,417;5;0,800;1;5;7;1;0;3;5;35;12;;;;;;
TATUM;1;2310;13;0,462;10;0,400;6;0,833;2;6;6;2;0;3;1;29;2;;;;;;
TATUM;1;2245;11;0,636;11;0,091;0;0,000;1;6;2;1;0;3;3;17;-4;;;;;;
TATUM;1;2115;12;0,500;1;1,000;6;0,833;2;7;5;1;1;8;4;20;-1;;;;;;
TATUM;0;2634;13;0,615;15;0,467;10;0,800;0;13;6;0;2;3;1;45;-5;;;;;;
TATUM;1;2161;8;0,625;9;0,222;9;0,778;0;11;4;0;1;2;2;23;-2;;;;;;
TATUM;0;2335;13;0,538;3;0,000;13;0,923;0;5;3;2;0;2;3;26;-21;;;;;;
TATUM;1;2328;12;0,500;13;0,385;10;0,700;1;8;4;2;0;6;2;34;3;;;;;;
TATUM;1;2133;8;0,750;8;0,250;3;1,000;1;6;4;0;0;4;2;21;18;;;;;;
TATUM;1;1647;4;1,000;5;0,400;9;0,778;0;7;4;1;1;7;1;21;-7;;;;;;
TATUM;0;2242;18;0,611;8;0,250;7;0,571;1;11;6;1;0;2;2;32;-14;;;;;;
TATUM;1;2316;9;0,556;9;0,333;8;0,750;0;6;5;1;0;0;3;25;17;;;;;;
TATUM;1;2434;10;0,500;9;0,222;9;1,000;0;10;5;0;2;4;3;25;9;;;;;;
TATUM;1;2186;12;0,500;10;0,300;8;0,750;3;8;3;0;3;3;1;27;2;;;;;;
TATUM;1;2327;13;0,692;9;0,222;9;0,667;0;6;4;0;0;2;3;30;14;;;;;;
TATUM;1;1852;15;0,267;6;0,667;4;0,750;3;5;3;0;1;1;3;23;9;;;;;;
TATUM;0;2457;8;0,375;9;0,222;3;1,000;3;5;7;2;0;0;0;15;-9;;;;;;
TATUM;1;1820;6;0,667;10;0,500;9;0,778;0;4;2;1;0;2;0;30;19;;;;;;
TATUM;1;2474;9;0,556;6;0,167;13;0,923;0;8;7;0;1;1;0;25;10;;;;;;
TATUM;1;2599;20;0,450;11;0,182;8;0,875;2;5;10;5;0;3;4;31;10;;;;;;
TATUM;1;1850;7;0,714;10;0,500;0;0,000;1;5;2;0;2;3;1;25;32;;;;;;
TATUM;0;2256;16;0,500;5;0,400;10;0,800;5;8;8;1;0;4;3;30;0;;;;;;
TATUM;1;1478;4;0,250;8;0,625;14;0,929;0;9;5;1;1;1;1;30;34;;;;;;
TATUM;1;2256;10;0,600;13;0,615;4;0,500;1;12;6;1;0;4;4;38;19;;;;;;
TATUM;1;2535;15;0,467;11;0,545;14;0,929;0;4;2;1;0;1;3;45;3;;;;;;
TATUM;0;945;5;0,400;1;0,000;4;0,750;0;1;3;0;0;1;2;7;-31;;;;;;
TATUM;1;1770;10;0,500;7;0,571;7;0,714;1;7;5;1;1;2;2;27;9;;;;;;
TATUM;1;2248;13;0,462;6;0,167;4;1,000;0;14;6;1;1;1;2;19;8;;;;;;
TATUM;1;1893;13;0,462;8;0,375;5;0,600;0;5;2;0;0;2;2;24;11;;;;;;
TATUM;0;2335;16;0,500;8;0,125;3;1,000;2;6;5;1;0;0;1;22;6;;;;;;
TATUM;1;2107;11;0,273;6;0,167;12;0,750;1;6;3;1;0;2;0;18;-4;;;;;;
TATUM;1;2455;13;0,692;8;0,250;19;0,789;0;11;5;3;2;0;4;39;27;;;;;;
TATUM;1;1932;8;0,500;7;0,429;10;0,900;1;7;4;0;0;1;1;26;22;;;;;;
TATUM;0;1802;14;0,429;4;0,500;3;1,000;3;8;1;0;1;3;2;21;-32;;;;;;
TATUM;1;2250;10;0,800;8;0,250;7;0,857;0;10;8;3;1;7;1;28;9;;;;;;
TATUM;1;2330;10;0,800;9;0,444;3;0,667;0;7;7;1;2;2;2;30;-4;;;;;;
TATUM;0;2197;11;0,273;10;0,500;2;1,000;2;5;3;1;1;2;3;23;-12;;;;;;
TATUM;1;1848;10;0,600;12;0,500;4;1,000;1;7;7;1;0;2;1;34;27;;;;;;
TATUM;1;2136;8;0,750;13;0,154;2;1,000;0;9;7;1;0;3;3;20;3;;;;;;
TATUM;1;2284;12;0,750;10;0,300;9;0,889;1;9;8;1;2;2;1;35;9;;;;;;
TATUM;1;2321;14;0,643;6;0,333;2;1,000;1;9;9;0;2;1;1;26;5;;;;;;
TATUM;1;2339;15;0,600;11;0,455;8;1,000;0;14;5;2;1;2;3;41;21;;;;;;
TATUM;1;1703;9;0,556;7;0,286;5;0,800;1;6;9;0;0;1;0;20;27;;;;;;
TATUM;1;2095;7;0,429;10;0,500;6;0,667;0;7;5;3;0;3;3;25;13;;;;;;
TATUM;1;2602;7;0,714;8;0,250;4;0,750;1;5;6;2;1;4;3;19;15;;;;;;
TATUM;1;2085;13;0,615;7;0,143;11;0,909;0;11;8;0;1;1;1;29;27;;;;;;
TATUM;1;2230;10;0,500;9;0,556;7;1,000;0;8;3;0;0;4;2;32;17;;;;;;
TATUM;1;1512;8;0,625;5;0,800;5;1,000;0;3;5;1;1;0;2;27;40;;;;;;
TATUM;0;2251;12;0,250;9;0,556;6;0,833;2;11;2;0;0;2;3;26;-7;;;;;;
TATUM;0;2319;8;0,375;5;0,400;4;0,750;1;3;8;2;0;5;4;15;-2;;;;;;
TATUM;1;2536;19;0,316;9;0,556;2;1,000;3;7;7;1;0;4;0;29;4;;;;;;
TATUM;1;2140;15;0,467;8;0,250;8;0,750;0;5;8;0;0;1;0;26;16;;;;;;
TATUM;1;2040;15;0,600;10;0,400;8;1,000;2;4;2;0;1;3;3;38;8;;;;;;
TATUM;1;1985;10;0,600;8;0,500;3;0,667;1;4;5;0;0;3;3;26;26;;;;;;
TATUM;1;1596;5;0,400;12;0,500;10;0,800;0;6;6;3;1;2;1;30;26;;;;;;
TATUM;1;2360;12;0,417;7;0,571;10;0,900;0;8;4;3;2;2;2;31;2;;;;;;
TATUM;1;2244;13;0,462;7;0,286;9;0,889;1;1;6;1;1;5;1;26;5;;;;;;
TATUM;0;2363;19;0,579;7;0,286;11;0,818;2;6;5;2;1;2;1;37;3;;;;;;
TATUM;0;2714;15;0,467;7;0,286;13;0,846;3;10;6;0;0;2;3;31;-11;;;;;;
TATUM;1;2130;11;0,636;6;0,500;0;0,000;1;8;4;0;0;4;1;23;8;;;;;;
